date,Digital Product Sales,isPartial
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,44,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,48,False
2018-08-05,20,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,16,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,51,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,14,False
2018-11-25,22,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,33,False
2019-01-27,0,False
2019-02-03,15,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,47,False
2019-04-28,14,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,17,False
2019-06-23,15,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,31,False
2019-08-25,45,False
2019-09-01,0,False
2019-09-08,17,False
2019-09-15,33,False
2019-09-22,27,False
2019-09-29,74,False
2019-10-06,0,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,34,False
2019-11-24,21,False
2019-12-01,41,False
2019-12-08,25,False
2019-12-15,14,False
2019-12-22,56,False
2019-12-29,0,False
2020-01-05,16,False
2020-01-12,27,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,33,False
2020-02-23,20,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,36,False
2020-04-12,47,False
2020-04-19,16,False
2020-04-26,52,False
2020-05-03,44,False
2020-05-10,28,False
2020-05-17,23,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,73,False
2020-06-21,14,False
2020-06-28,29,False
2020-07-05,0,False
2020-07-12,35,False
2020-07-19,0,False
2020-07-26,30,False
2020-08-02,18,False
2020-08-09,56,False
2020-08-16,36,False
2020-08-23,32,False
2020-08-30,28,False
2020-09-06,32,False
2020-09-13,22,False
2020-09-20,16,False
2020-09-27,29,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,38,False
2020-10-25,26,False
2020-11-01,31,False
2020-11-08,26,False
2020-11-15,59,False
2020-11-22,37,False
2020-11-29,25,False
2020-12-06,33,False
2020-12-13,48,False
2020-12-20,29,False
2020-12-27,19,False
2021-01-03,0,False
2021-01-10,11,False
2021-01-17,18,False
2021-01-24,65,False
2021-01-31,0,False
2021-02-07,46,False
2021-02-14,51,False
2021-02-21,33,False
2021-02-28,19,False
2021-03-07,37,False
2021-03-14,48,False
2021-03-21,24,False
2021-03-28,14,False
2021-04-04,31,False
2021-04-11,22,False
2021-04-18,46,False
2021-04-25,48,False
2021-05-02,24,False
2021-05-09,41,False
2021-05-16,45,False
2021-05-23,15,False
2021-05-30,0,False
2021-06-06,56,False
2021-06-13,34,False
2021-06-20,29,False
2021-06-27,26,False
2021-07-04,16,False
2021-07-11,49,False
2021-07-18,0,False
2021-07-25,86,False
2021-08-01,15,False
2021-08-08,25,False
2021-08-15,36,False
2021-08-22,75,False
2021-08-29,33,False
2021-09-05,27,False
2021-09-12,17,False
2021-09-19,44,False
2021-09-26,18,False
2021-10-03,39,False
2021-10-10,19,False
2021-10-17,57,False
2021-10-24,25,False
2021-10-31,27,False
2021-11-07,50,False
2021-11-14,51,False
2021-11-21,51,False
2021-11-28,36,False
2021-12-05,46,False
2021-12-12,45,False
2021-12-19,45,False
2021-12-26,32,False
2022-01-02,43,False
2022-01-09,0,False
2022-01-16,14,False
2022-01-23,57,False
2022-01-30,71,False
2022-02-06,52,False
2022-02-13,53,False
2022-02-20,46,False
2022-02-27,90,False
2022-03-06,50,False
2022-03-13,43,False
2022-03-20,73,False
2022-03-27,48,False
2022-04-03,100,False
2022-04-10,76,False
2022-04-17,66,False
2022-04-24,78,False
2022-05-01,31,False
2022-05-08,43,False
2022-05-15,80,False
2022-05-22,65,False
2022-05-29,25,False
2022-06-05,55,False
2022-06-12,62,False
2022-06-19,14,False
2022-06-26,39,False
2022-07-03,38,False
2022-07-10,48,False
2022-07-17,58,False
2022-07-24,31,False
2022-07-31,34,False
2022-08-07,30,False
2022-08-14,29,False
2022-08-21,36,False
2022-08-28,35,False
2022-09-04,0,False
2022-09-11,56,False
2022-09-18,68,False
2022-09-25,68,False
2022-10-02,73,False
2022-10-09,67,False
2022-10-16,50,False
2022-10-23,62,False
2022-10-30,66,False
2022-11-06,51,False
2022-11-13,63,False
2022-11-20,54,False
2022-11-27,62,False
2022-12-04,59,False
2022-12-11,53,False
2022-12-18,63,False
2022-12-25,11,False
2023-01-01,41,False
2023-01-08,70,False
2023-01-15,51,False
2023-01-22,52,False
2023-01-29,38,False
2023-02-05,26,False
2023-02-12,79,False
2023-02-19,59,False
2023-02-26,75,False
2023-03-05,57,False
2023-03-12,72,False
2023-03-19,53,False
2023-03-26,61,False
2023-04-02,83,False
2023-04-09,80,False
2023-04-16,61,False
2023-04-23,69,False
2023-04-30,90,False
2023-05-07,37,False
2023-05-14,52,False
2023-05-21,47,False
2023-05-28,60,False
2023-06-04,0,True
