,query,value,mode
0,sushant singh rajput personal assistant,13700,rising
1,sushant singh rajput,12950,rising
2,amber heard personal assistant,9550,rising
3,kate james personal assistant,8400,rising
4,your personal assistant wow,8250,rising
5,glorilla personal assistant,4750,rising
6,admin or office jobs,3550,rising
7,personal assistant pelicula,2950,rising
8,disha salian,2800,rising
9,bmw intelligent personal assistant,2350,rising
10,ratan tata personal assistant,1850,rising
11,meghan markle personal assistant,950,rising
12,personal assistant of female president,900,rising
13,personal assistant jobs remote,850,rising
14,remote jobs,800,rising
15,johnny depp personal assistant,600,rising
16,genesis personal assistant,600,rising
17,personal assistant adalah,450,rising
18,assistant jobs near me,450,rising
19,angela cullen,450,rising
20,personal assistant jobs near me,450,rising
21,remote personal assistant,400,rising
22,jobs hiring near me,400,rising
23,jobs near me,400,rising
24,elon musk personal assistant,400,rising
25,jobs,100,top
26,personal assistant jobs,97,top
27,assistant jobs,96,top
28,the personal assistant,46,top
29,personal assistant job,45,top
30,personal care assistant,32,top
31,personal assistant salary,23,top
32,pa,21,top
33,pa personal assistant,21,top
34,what is personal assistant,20,top
35,personal assistant description,17,top
36,personal assistant job description,16,top
37,personal executive assistant,15,top
38,executive assistant,15,top
39,what is a personal assistant,14,top
40,virtual personal assistant,14,top
41,virtual assistant,13,top
42,home assistant,13,top
43,best personal assistant,11,top
44,your personal assistant,11,top
45,google assistant,11,top
46,digital personal assistant,11,top
47,assistant jobs near me,10,top
48,my personal assistant,10,top
49,personal assistant jobs near me,10,top
